Gene_Names,Gene_ID,Avg_Count
actn1,LL0000000226,33795
actn2a,LL0000000227,8
actn2b,LL0000000228,43
actn3a,LL0000000229,2401
actn3b,LL0000000230,1182
actn4,LL0000000231,21677
actr1,LL0000000232,3334
actr10,LL0000000233,1903
actr2a,LL0000000234,5802
actr2b,LL0000000235,395
actr3,LL0000000236,4880
actr3b,LL0000000237,8
actr5,LL0000000238,256
actr6,LL0000000239,490
actr8,LL0000000240,432
acvr1ba,LL0000000241,1848
acvr1bb,LL0000000242,595
ACVR1C,LL0000000243,0
acvr1l,LL0000000244,2721
acvr2aa,LL0000000245,2630
acvr2ab,LL0000000246,583
acvr2ba,LL0000000247,664
acvr2bb,LL0000000248,372
acvrl1,LL0000000249,2325
acy1,LL0000000250,879
acy3.1,LL0000000251,44
acy3.2,LL0000000252,675
acyp1,LL0000000253,46
acyp2,LL0000000254,3
ada,LL0000000255,3097
ada2a,LL0000000256,825
ada2b,LL0000000257,0
adad1,LL0000000258,2
adad2,LL0000000259,50
adal,LL0000000260,48
adam10a,LL0000000261,9642
adam10b,LL0000000262,344
adam11,LL0000000263,24
adam12,LL0000000264,24
ADAM12 (1 of many),LL0000000265,28
adam15,LL0000000266,26
adam17a,LL0000000267,3500
adam17b,LL0000000268,1058
adam19a,LL0000000269,1995
adam19b,LL0000000270,150
adam22,LL0000000271,99
adam23a,LL0000000272,65
adam28,LL0000000273,5800
adam8a,LL0000000274,155
adam8b,LL0000000275,349
adam9,LL0000000276,1671
adamts1,LL0000000277,12937
adamts10,LL0000000278,129
adamts12,LL0000000279,1759
adamts13,LL0000000280,289
adamts14,LL0000000281,1728
adamts15a,LL0000000282,184
adamts15b,LL0000000283,175
adamts16,LL0000000284,23
adamts17,LL0000000285,265
adamts18,LL0000000286,2063
adamts2,LL0000000287,2198
adamts3,LL0000000288,437
adamts5,LL0000000289,93
adamts6,LL0000000290,62
ADAMTS7,LL0000000291,25
adamts8a,LL0000000292,1254
adamts9,LL0000000293,104
adamtsl2,LL0000000294,6
adamtsl3,LL0000000295,21
adamtsl5,LL0000000296,1041
adamtsl7,LL0000000297,5418
adap2,LL0000000298,21
adar,LL0000000299,833
adarb1a,LL0000000300,86
adarb1b,LL0000000301,34
adarb2,LL0000000302,36
adat1,LL0000000303,76
adat2,LL0000000304,80
adat3,LL0000000305,79
adck1,LL0000000306,168
adck2,LL0000000307,158
adck5,LL0000000308,286
adcy1a,LL0000000309,1
adcy1b,LL0000000310,137
adcy2a,LL0000000311,8
adcy2b,LL0000000312,74
adcy3a,LL0000000313,179
adcy3b,LL0000000314,1
adcy5,LL0000000315,47
adcy6a,LL0000000316,120
adcy6b,LL0000000317,290
adcy7,LL0000000318,1122
adcy8,LL0000000319,0
adcy9,LL0000000320,2272
