Gene_Names,Gene_ID,Avg_Count
actl6b,LL0000000225,6
actn1,LL0000000226,24139
actn2a,LL0000000227,8
actn2b,LL0000000228,50
actn3a,LL0000000229,1047
actn3b,LL0000000230,504
actn4,LL0000000231,25676
actr1,LL0000000232,3637
actr10,LL0000000233,2249
actr2a,LL0000000234,6018
actr2b,LL0000000235,799
actr3,LL0000000236,3577
actr3b,LL0000000237,19
actr5,LL0000000238,199
actr6,LL0000000239,821
actr8,LL0000000240,531
acvr1ba,LL0000000241,3180
acvr1bb,LL0000000242,465
ACVR1C,LL0000000243,0
acvr1l,LL0000000244,3571
acvr2aa,LL0000000245,2880
acvr2ab,LL0000000246,761
acvr2ba,LL0000000247,1113
acvr2bb,LL0000000248,442
acvrl1,LL0000000249,1864
acy1,LL0000000250,997
acy3.1,LL0000000251,51
acy3.2,LL0000000252,597
acyp1,LL0000000253,58
acyp2,LL0000000254,1
ada,LL0000000255,2932
ada2a,LL0000000256,907
ada2b,LL0000000257,8
adad1,LL0000000258,0
adad2,LL0000000259,20
adal,LL0000000260,67
adam10a,LL0000000261,9786
adam10b,LL0000000262,542
adam11,LL0000000263,135
adam12,LL0000000264,164
ADAM12 (1 of many),LL0000000265,88
adam15,LL0000000266,146
adam17a,LL0000000267,3759
adam17b,LL0000000268,1421
adam19a,LL0000000269,2484
adam19b,LL0000000270,501
adam22,LL0000000271,175
adam23a,LL0000000272,28
adam28,LL0000000273,4885
adam8a,LL0000000274,431
adam8b,LL0000000275,702
adam9,LL0000000276,1968
adamts1,LL0000000277,6363
adamts10,LL0000000278,1054
adamts12,LL0000000279,985
adamts13,LL0000000280,235
adamts14,LL0000000281,1912
adamts15a,LL0000000282,774
adamts15b,LL0000000283,1666
adamts16,LL0000000284,515
adamts17,LL0000000285,269
adamts18,LL0000000286,1688
adamts2,LL0000000287,2374
adamts3,LL0000000288,1898
adamts5,LL0000000289,149
adamts6,LL0000000290,153
ADAMTS7,LL0000000291,174
adamts8a,LL0000000292,540
adamts9,LL0000000293,325
adamtsl2,LL0000000294,396
adamtsl3,LL0000000295,213
adamtsl5,LL0000000296,884
adamtsl7,LL0000000297,2030
adap2,LL0000000298,64
adar,LL0000000299,1242
adarb1a,LL0000000300,45
adarb1b,LL0000000301,142
adarb2,LL0000000302,48
adat1,LL0000000303,82
adat2,LL0000000304,95
adat3,LL0000000305,107
adck1,LL0000000306,164
adck2,LL0000000307,125
adck5,LL0000000308,471
adcy1a,LL0000000309,0
adcy1b,LL0000000310,31
adcy2a,LL0000000311,57
adcy2b,LL0000000312,109
adcy3a,LL0000000313,233
adcy3b,LL0000000314,36
adcy5,LL0000000315,71
adcy6a,LL0000000316,371
adcy6b,LL0000000317,690
adcy7,LL0000000318,1460
adcy8,LL0000000319,38
adcy9,LL0000000320,1592
adcyap1a,LL0000000321,32
adcyap1b,LL0000000322,143
add1,LL0000000324,3103
add2,LL0000000325,77
add3a,LL0000000326,2439
add3b,LL0000000327,78
adgb,LL0000000328,81
adgra1a,LL0000000329,15
adgra2,LL0000000330,2334
adgra3,LL0000000331,1591
adgrb1a,LL0000000332,113
adgrb1b,LL0000000333,132
adgrb2,LL0000000334,9
adgrb3,LL0000000335,88
adgrd1,LL0000000336,85
adgrd2,LL0000000337,0
adgre10,LL0000000338,48
adgre13,LL0000000339,0
adgre14,LL0000000340,0
adgre15,LL0000000341,3
adgre16,LL0000000342,1
adgre17,LL0000000343,1
adgre19,LL0000000344,0
adgre5a,LL0000000345,2
adgre5b.2,LL0000000346,50
adgre5b.3,LL0000000347,1471
adgre7,LL0000000348,0
adgre8,LL0000000349,0
adgre9,LL0000000350,32
adgrf11,LL0000000351,0
adgrf3a,LL0000000352,0
adgrf3b,LL0000000353,249
adgrf6,LL0000000354,12
adgrf7,LL0000000355,20
adgrf8,LL0000000356,3
adgrg1,LL0000000357,2420
adgrg11,LL0000000358,2
adgrg2a,LL0000000359,114
adgrg3,LL0000000360,12
adgrg4a,LL0000000361,24
adgrg4b,LL0000000362,0
adgrg6,LL0000000363,4083
adgrg7.1,LL0000000364,0
adgrg7.2,LL0000000365,1
adgrl1.1,LL0000000366,14
adgrl1a,LL0000000367,76
adgrl2a,LL0000000368,2054
adgrl2b.1,LL0000000369,11
ADGRL3,LL0000000370,267
adgrl3.1,LL0000000371,277
adgrl4,LL0000000372,55
adgrv1,LL0000000373,240
adh5,LL0000000374,2954
adh8a,LL0000000375,5
adh8b,LL0000000376,3030
adhfe1,LL0000000377,736
adi1,LL0000000378,899
adipoqa,LL0000000379,2
adipoqb,LL0000000380,0
adipor1a,LL0000000381,1767
adipor1b,LL0000000382,1144
adipor2,LL0000000383,4520
adka,LL0000000384,1910
adkb,LL0000000385,1244
adm2a,LL0000000386,950
adm2b,LL0000000387,6
adma,LL0000000388,889
admb,LL0000000389,728
admp,LL0000000390,0
adnp2a,LL0000000391,637
adnp2b,LL0000000392,3375
adnpa,LL0000000393,2895
adnpb,LL0000000394,698
adoa,LL0000000395,461
adob,LL0000000396,437
adora1a,LL0000000397,0
adora1b,LL0000000398,10
adora2aa,LL0000000399,145
adora2ab,LL0000000400,68
adora2b,LL0000000401,642
adpgk,LL0000000402,692
adpgk2,LL0000000403,359
adprh,LL0000000404,265
adprhl1,LL0000000405,7
adprhl2,LL0000000406,180
adprm,LL0000000407,267
adra1aa,LL0000000408,42
adra1ab,LL0000000409,6
adra1ba,LL0000000410,333
adra1bb,LL0000000411,0
adra1d,LL0000000412,170
adra2a,LL0000000413,72
adra2b,LL0000000414,73
adra2c,LL0000000415,11
adra2da,LL0000000416,101
adra2db,LL0000000417,0
adrb1,LL0000000418,45
adrb2a,LL0000000419,292
adrb2b,LL0000000420,0
adrb3a,LL0000000421,296
adrb3b,LL0000000422,11
adrm1,LL0000000423,1328
adsl,LL0000000424,973
adss,LL0000000425,723
adssl,LL0000000426,2485
adssl1,LL0000000427,168
adtrp1,LL0000000428,493
aebp1,LL0000000429,2504
aebp2,LL0000000430,964
